"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1920","@API Добавить новый адрес в список адресов доставки текущего пользователя","chromium","Sun Apr 20 13:05:22 GMT 2025","passed","Sun Apr 20 13:05:24 GMT 2025","@API Добавить новый адрес","api/userAddress.api.spec.js","",""
"","11616","@UI Рассчитать стоимость наращивания волос и отправить форму рассчета","chromium","Sun Apr 20 13:05:49 GMT 2025","passed","Sun Apr 20 13:06:01 GMT 2025","","ui/forms.spec.js","",""
"","285","@API Отправить форму ""Купить в 1 клик","chromium","Sun Apr 20 13:05:21 GMT 2025","passed","Sun Apr 20 13:05:21 GMT 2025","","api/forms.api.spec.js","",""
"","20362","@UI Авторизоваться на сайте с типом пользователя ""частное лицо"" c помощью пароля","chromium","Sun Apr 20 13:06:12 GMT 2025","passed","Sun Apr 20 13:06:32 GMT 2025","","ui/user.spec.js","",""
"","11093","@UI Добавить товар в корзину","chromium","Sun Apr 20 13:05:26 GMT 2025","passed","Sun Apr 20 13:05:37 GMT 2025","","ui/catalog.spec.js","",""
"","2188","@API Сделать адрес избранным","chromium","Sun Apr 20 13:05:24 GMT 2025","passed","Sun Apr 20 13:05:26 GMT 2025","","api/userAddress.api.spec.js","",""
"","9521","@UI Добавить товар в избранное","chromium","Sun Apr 20 13:05:40 GMT 2025","passed","Sun Apr 20 13:05:49 GMT 2025","","ui/catalog.spec.js","",""
"","557","@API Получить список адресов доставки текущего пользователя","chromium","Sun Apr 20 13:05:21 GMT 2025","passed","Sun Apr 20 13:05:22 GMT 2025","","api/userAddress.api.spec.js","",""
"","11225","@UI Зарегистрировать тип пользователя ""частное лицо""","chromium","Sun Apr 20 13:06:01 GMT 2025","passed","Sun Apr 20 13:06:12 GMT 2025","","ui/user.spec.js","",""
"","1731","@API Добавить товар в избренное","chromium","Sun Apr 20 13:05:19 GMT 2025","passed","Sun Apr 20 13:05:21 GMT 2025","@API Добавление товара в избранное","api/favorites.api.spec.js","",""
